UF,CÓDIGO DO MUNICÍPIO,MUNICÍPIO,CNES,NOME FANTASIA,TIPO NOVO DO ESTABELECIMENTO,TIPO DO ESTABELECIMENTO,SUBTIPO DO ESTABELECIMENTO,GESTÃO,CONVÊNIO SUS,CATEGORIA NATUREZA JURÍDICA,SERVIÇO,SERVIÇO CLASSIFICAÇÃO,SERVIÇO - AMBULATORIAL SUS,SERVIÇO - AMBULATORIAL NÃO SUS,SERVIÇO - HOSPITALAR SUS,SERVIÇO - HOSPITALAR NÃO SUS,NO_LOGRADOURO,NU_ENDERECO,NO_COMPLEMENTO,NO_BAIRRO,CO_CEP,NU_TELEFONE,NU_LATITUDE,NU_LONGITUDE,NO_EMAIL,NO_URL
SP,355030,SAO PAULO,2082225,HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AV ELISIO TEIXEIRA LEITE,6999,,PARADA DE TAIPAS,2810000,(11) 3973-0416,-23.476901,-46.729302,faturamento@hgt.org.br,
AM,130260,MANAUS,3151794,MATERNIDADE DE REFERENCIA ANA BRAGA,007 CENTRO DE ASSISTENCIA OBSTETRICA E NEONATAL NORMAL,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AV ALAMEDA COSME FERREIRA,S/N,,ALEIXO,69083000,(92)36474200,-3.076859175244616,-59.956737756729126,MATERNIDADEANABRAGA@GMAIL.COM,
PA,150543,OURILANDIA DO NORTE,4190203,HOSPITAL REGIONAL DA PA 279,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA CAITETE,S/N,HOSPITAL,AZEVEC,68390000,9431991475,-6.74942463148501,-51.07062220573425,,
RS,432240,URUGUAIANA,2248190,SANTA CASA DE URUGUAIANA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,DOMINGOS DE ALMEIDA,3801,,SAO MIGUEL,97502854,(55) 3414-5500,-29.772622,-57.084524,adm@hsu.org.br,www.santacasauruguaiana.com.br
RO,110015,OURO PRETO DO OESTE,9936467,AME AMBULATORIO MEDICO DE ESPECIALIDADES,016 AMBULATORIO,36 CLINICA/CENTRO DE ESPECIALIDADE,009 OUTROS,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,AVENIDA DANIEL COMBONI,S/N,,JARDIM TROPICAL,76920000,,-10.718824458544336,-62.25306272506714,,
MG,310160,ALFENAS,2171988,HOSPITAL UNIVERSITARIO ALZIRA VELANO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Sim,Não,Não,Não,RUA GERALDO FREITAS DA COSTA,120,,CRUZ PRETA,37132202,(35)32993538,-21.4427555,-45.9402565,,
GO,520620,CRISTALINA,2442353,ESF ALPHAVILLE DE CRISTALINA,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,SETOR SIGMA,S/N,QD 02 LT 33 34,CAMPOS LINDOS,73850000,(61)36123924,-16.057691200175167,-47.5543212890625,smscristalina@cristalnet.com.b,
GO,520915,GOUVELANDIA,2436949,UNIDADE MISTA DE PRONTO ATENDIMENTO 24 HRS M ALVES GOUVEIA,008 PRONTO ATENDIMENTO,73 PRONTO ATENDIMENTO,001 PRONTO ATENDIMENTO GERAL,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,AV LONGUINHO LEMES DO PRADO,36,,CENTRO,75865000,(62)6531329,-18.44289149027279,-50.13505697250366,sm.gouvelandia@bol.com.br,
GO,520050,ALOANDIA,2343509,HOSPITAL MUNICIPAL ATANAZIO FERREIRA DA CUNHA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,AV 24 DE JUNHO,28,,CENTRO,75615000,(64) 3496-1169,-17.727452028570443,-49.48248624801636,helbes35@hotmail.com,
MG,312610,FORMIGA,2142376,HOSPITAL SAO LUIZ DE FORMIGA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA DOUTOR TEIXEIRA SOARES,335,,CENTRO,35570090,37-3329-1300.,-20.46148409214913,-45.42479222413529,administrativo1@santacasaformiga.org.br,
AM,130423,TONANTINS,2012804,UNIDADE HOSPITALAR DE TONANTINS HOSPITAL FREI FRANCISCO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,VALENTINA SANTOS,S/N,,CENTRO,69685000,(97)34641222,-2.8600793990710733,-67.7723354101181,hosp-tonantins@saude.am.gov.br,
RO,110012,JI-PARANA,455709,CENTRO DE ESPECIALIDADES MEDICAS,016 AMBULATORIO,36 CLINICA/CENTRO DE ESPECIALIDADE,009 OUTROS,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA JOSEFINA G PIMENTA,3003,,JARDIM AURELIO BRNAR,76900020,,-10.86458,-61.96124,,
RR,140040,NORMANDIA,2320541,UNIDADE MISTA RUTH QUITERIA,006 HOSPITAL,15 UNIDADE MISTA,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA RUTH QUITERIA,7,,CENTRO,69355000,95 98402-2606,3.8878071,-59.6223108,ruthunidade97@gmail.com,
RJ,330300,MIRACEMA,6823289,CIAMC JOSE MARIA LOVISI TITONELI,025 CENTRO DE IMUNIZACAO,01 POSTO DE SAUDE,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,PRACA GETULIO VARGAS,S/N,,CENTRO,28460000,2238528881,-21.41547,-42.20100,saudemiracema@ig.com.br,
CE,230300,CARIDADE,2611643,HOSPITAL DE PEQUENO PORTE DE CARIDADE,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,AV CEL FCO LINHARES,S/N,,CENTRO,62730000,3241142,-4.228617388701319,-39.191129207611084,,
CE,230440,FORTALEZA,2497654,HGF HOSPITAL GERAL DE FORTALEZA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Sim,Não,Não,Não,RUA AVILA GOULART,900,,PAPICU,60175295,31013161,-3.7396458312179717,-38.476717472076416,direcao.hgf@gmail.com,
SP,355030,SAO PAULO,5718368,HOSP MUN M BOI MIRIM,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,ESTRADA DO MBOI MIRIM,5203,,JARDIM ANGELA,4948970,11 32851184,-23.533394,-46.639973,januariomontone@prefeitura.sp.gov.br,
MG,316930,TRES CORACOES,2760657,HOSPITAL SAO SEBASTIAO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Sim,Sim,Sim,RUA PEDRO BONESIO,236,,CENTRO,37410113,(35)3239-3950,-21.69605742812918,-45.256301164627075,diretoria@hsstc.com.br,
MG,312800,GUANHAES,4376242,CENTRO DE CONTROLE DE DOENCA INFECTOPARASITARIAS,016 AMBULATORIO,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,PRACA CONEGO CESARIO,120,,CENTRO,39740000,,-18.77774894519493,-42.93495840262048,,
PA,150360,ITAITUBA,2620065,UNIDADE BASICA DE SAUDE KM 28,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,ROD TRANSAMAZONICA,S/N,KM 28,ZONA RURAL,68181000,,-4.353215160333173,-56.17116451263428,,
CE,230870,MORADA NOVA,4011627,POLICLINICA MUNICIPAL DE MORADA NOVA,016 AMBULATORIO,04 POLICLINICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,AV MANOEL DE CASTRO FILHO,S/N,,CENTRO,62940112,4221179,-5.104363454001549,-38.36290067717802,,
RS,430860,GARIBALDI,2257645,HOSPITAL BENEFICENTE SAO PEDRO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Sim,Não,Não,RUA 31 DE OUTUBRO,7,,CENTRO,95720000,(54)34649700,-29.253930109792577,-51.533863842487335,hbsp@hbsp.com.br,
CE,230425,CRUZ,2563460,HOSP MUNIC DONA MARIA MUNIZ,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA JOSE LUCIO,S/N,,TEODOSIO,62595000,(88)36601262,-2.92197028236509,-40.18279016017914,,
MG,310620,BELO HORIZONTE,27049,HOSP DAS CLINICAS DA UNIV FED DE MINAS GERAIS EBSERH,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PRIVADO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Sim,Não,Sim,Não,AV ALFREDO BALENA,110,,STA EFIGENIA,30130100,3133079612,-19.9253417,-43.9292778,dirgeral.hcmg@ebserh.gov.br,
DF,530010,BRASILIA,2814897,HOSPITAL REGIONAL DO GUARA I,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AREA ESPECIAL QI,6,LOTE C,GUARA I,71010006,20173777,-15.783333,-47.933333,diretoria.hrgu.centrosul@gmail.com,http://www.saude.df.gov.br/
PR,410690,CURITIBA,2384299,COMPLEXO DO HOSPITAL DE CLINICAS DA UFPR HC E MVFA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,DUPLA,SIM,PRIVADO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,GENERAL CARNEIRO,181,,ALTO DA GLORIA,80060900,41 33601800,-25.424514615081904,-49.261686201852164,gas@hc.ufpr.br uma@hc.ufpr.br,http://www.hc.ufpr.br
MG,311340,CARATINGA,2118513,HOSPITAL NOSSA SENHORA AUXILIADORA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Sim,Sim,Sim,RUA DEPUTADO JOSE AUGUSTO FERREIRA,89,,CENTRO,35300016,(33)3322-6400,-19.785078,-42.142288,hnsauxiliadora@gmail.com,
BA,291460,IRECE,4026896,HOSPITAL REGIONAL DR MARIO DOURADO SOBRINHO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,PRACA TEODORO SAMPAIO,S/N,CENTRO,CENTRO,44860135,(74)36887700,-11.312810,-41.863479,ingrid.silva@irmadulce.org.br,
RJ,330455,RIO DE JANEIRO,2295407,SMS HOSPITAL MUNICIPAL ROCHA FARIA AP 52,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Sim,Não,Sim,Não,AV CESARIO DE MELO,3215,,CAMPO GRANDE,23050101,(21)2333-6797,-22.908061044663658,-43.56238079119834,direcao.hmrf@igedes.org.br,
PE,261160,RECIFE,2711613,CENTRO UNIVERSITARIO INTEGRADO DE SAUDE AMAURY DE MEDEIROS,006 HOSPITAL,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,DUPLA,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AV VISCONDE MAMANGUAPE,S/N,,ENCRUZILHADA,52030010,(81)31827701,-8.037593,-34.88826,cisam upe@terra.com.br,
PE,261160,RECIFE,1813,US 112 CS DR JOSE DUSTAN CARVALHO SOARES,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,AV MAURICIO DE NASSAU,S/N,,IPUTINGA,50731490,(81) 33554389,-8.0373446,-34.9337111,distsanitario@recife.gov.br,
AM,130340,PARINTINS,3210243,HOSPITAL REGIONAL DR JOFRE DE MATOS COHEN,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA HERBERTH DE AZEVEDO,985,,SANTA CLARA,69151160,(92)5334158,-2.621984617467807,-56.726847565420115,,
MG,310620,BELO HORIZONTE,27049,HOSP DAS CLINICAS DA UNIV FED DE MINAS GERAIS EBSERH,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PRIVADO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AV ALFREDO BALENA,110,,STA EFIGENIA,30130100,3133079612,-19.9253417,-43.9292778,dirgeral.hcmg@ebserh.gov.br,
SP,354330,RIBEIRAO PIRES,2026171,AMBULATORIO DE INFECTOLOGIA,016 AMBULATORIO,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA JOAO DOMINGUES DE OLIVEIRA,320,,CENTRO,9400250,(11)48284441,-23.7135198,-46.4136025,,
SP,353870,PIRACICABA,2792346,UPA DR FORTUNATO LOSSO NETTO PIRACICAMIRIM PIRACICABA,008 PRONTO ATENDIMENTO,73 PRONTO ATENDIMENTO,003 UPA,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Sim,Sim,Não,Não,RUA RIO GRANDE DO NORTE,135,,VILA PRUDENTE,13420500,(19) 3426-5973,-22.73941996000454,-47.62725644256446,upapiracicamirim@piracicaba.sp.gov.br,
MT,510267,CAMPO VERDE,3569276,CENTRO DE ATENCAO PSICOSSOCIAL DE CAMPO VERDE,017 UNIDADE DE ATENCAO PSICOSSOCIAL,70 CENTRO DE ATENCAO PSICOSSOCIAL,001 CAPS I,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Sim,AVENIDA SAO JOAO BATISTA,619,,JARDIM CAMPO VERDE,78844530,(66) 34192288,-15.550841621936952,-55.1593279838562,saude@campoverde.mt.gov.br,
DF,530010,BRASILIA,658359,CEPAV FLOR DE LIS,016 AMBULATORIO,36 CLINICA/CENTRO DE ESPECIALIDADE,009 OUTROS,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AVENIDA WR4 QUADRA 01 AREA ESPECIAL SETOR HOSPIT,S/N,,PLANALTINA,73310000,61 20171352,-15.625377135020079,-47.652262289801534,cepav.flordelis@saude.df.gov.br,
MA,211120,SAO JOSE DE RIBAMAR,2517264,UNIDADE BASICA DE SAUDE DO SAO RAIMUNDO,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA SAO JUDAS TADEU,17,,SAO RAIMUNDO,65113721,(09)82241495,-2.5242707473815194,-44.2394802047954,sms.sjribamar@ig.com.br,
CE,230800,MASSAPE,2478277,HOSPITAL SENADOR OZIRES PONTES,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA CRUZEIRO,S/N,,COHAB,62140000,8836431137,-3.531518523675218,-40.34180760383606,secsaudemassape@hotmail.com,
AM,130410,TAPAUA,2012553,UNIDADE HOSPITALAR DE TAPAUA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AV PRESIDENTE COSTA E SILVA,S/N,,ACAI,69480000,97-98404-1801,-5.62798864916508,-63.18950993170578,hospitaltapaua@gmail.com,
SP,351550,FERNANDOPOLIS,2076047,CADIP VILA REGINA FERNANDOPOLIS,016 AMBULATORIO,36 CLINICA/CENTRO DE ESPECIALIDADE,009 OUTROS,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,AVN BRASILIA,756,,VILA REGINA,15612032,1734427733,-20.281319275371736,-50.25977969169617,cadipfernandopolis@gmail.com,
SP,354800,SANTO ANTONIO DE POSSE,4049632,PRONTO ATENDIMENTO SANTO ANTONIO DE POSSE,008 PRONTO ATENDIMENTO,20 PRONTO SOCORRO GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA FRANCISCO GLICERIO,S/N,,CENTRO,13830142,(19)38969500,-22.6067314,-46.9189109,saude@pmsaposse.sp.gov.br,
AM,130420,TEFE,3581659,CENTRO DE SAUDE ROSSINI BARBOSA LIMA,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA SAO SEBASTIAO,S/N,COMUNIDADE RURAL,CAIAMBE,69558899,,-3.5321181973922715,-64.4117259979248,,
GO,521483,NOVA CRIXAS,2437023,HOSPITAL MUNICIPAL DE NOVA CRIXAS,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,ALAMEDA DOM PEDRO II,S/N,QD 06 LT 13,CENTRO,76520000,(62)3853154,-14.099014376291484,-50.32785415649414,,
MG,315670,SABARA,5661757,SABARA CENTRO DE ATENDIMENTO ESPECIALIZADO CEMAE,016 AMBULATORIO,36 CLINICA/CENTRO DE ESPECIALIDADE,009 OUTROS,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,FRANCISCO DE ASSIS PEREIRA,S/N,,CENTRO,34505000,31 3674-2871,-19.88839,-43.80802,,
MG,315820,SANTA MARIA DO SUACUI,2103990,HOSPITAL SANTA MARIA ETERNA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Sim,Sim,Não,PRACA BATISTA LOPES,40,,CENTRO,39780000,(33)34311259,-18.19001204118875,-42.414114475250244,,
SP,354800,SANTO ANTONIO DE POSSE,4049632,PRONTO ATENDIMENTO SANTO ANTONIO DE POSSE,008 PRONTO ATENDIMENTO,20 PRONTO SOCORRO GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA FRANCISCO GLICERIO,S/N,,CENTRO,13830142,(19)38969500,-22.6067314,-46.9189109,saude@pmsaposse.sp.gov.br,
PE,261220,SALGUEIRO,2356287,HOSPITAL REGIONAL INACIO DE SA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA ANTONIO DE ALENCAR SAMPAIO,346,,PLANALTO,56000000,(87)38718319,-8.05864255,-39.1131813493632,hris@saude.pe.gov.br,
MG,316990,UBA,2195437,HOSPITAL SANTA ISABEL,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA FREI CORNELIO,200,,LAURINDO DE CASTRO,36507140,(32)35391188,-21.115169242124527,-42.95807719230652,rosangela@santaisabelsaude.com.br,
